Date;Energía final MWh;Mercado diario €/MWh;Mercado intradiario €/MWh;Restricciones €/MWh;Procesos OS €/MWh;Garantía potencia Pagos capacidad €/MWh;Total €/MWh;Coste s.interrrumpibilidad;Day;Precio cierre Brent;Precio apertura Brent;Precio Máximo Brent;Precio mínimo Brent;Tmax;Tmin;Tmed;Vmax;TPrec
2013-05-07;711755.1;45.17;-0.3;2.29;0.59;5.2;52.95;0.0;Martes;104.4;105.4;105.94;104.0;24.372623;13.598554;19.108723;17.46993;0.54821163
2013-05-08;706886.06;50.05;-0.48;3.03;1.13;5.23;58.96;0.0;Miércoles;104.34;104.11;104.8;103.53;24.171618;13.924416;19.068588;16.027378;0.33500755
2013-05-09;712014.94;51.04;-0.41;1.34;0.76;5.2;57.94;0.0;Jueves;104.47;104.44;104.6;103.45;23.007523;13.323574;18.14288;17.443392;2.0035484
2013-05-10;707860.44;46.06;-0.18;1.35;1.23;5.18;53.64;0.0;Viernes;103.91;104.35;104.45;101.56;22.321642;12.264773;17.353886;17.460852;0.044820618
2013-05-11;623204.7;46.15;-0.29;2.4;1.23;4.11;53.6;0.0;Sábado;103.91;104.35;104.45;101.56;21.945469;10.597996;16.243876;17.480986;0.0
2013-05-12;632133.06;33.07;-0.55;3.52;1.45;3.89;41.38;0.0;Domingo;103.91;104.35;104.45;101.56;21.988064;10.289457;16.20202;16.875385;0.007761007
2013-05-13;686433.4;46.65;-0.07;2.57;1.21;5.39;55.75;0.0;Lunes;102.82;103.26;103.86;102.25;23.63703;10.220709;16.994528;16.96497;0.02811706
2013-05-14;698634.0;49.11;-0.3;2.43;1.12;5.25;57.62;0.0;Martes;102.6;102.82;103.1;101.96;21.54977;11.625082;16.630888;20.20639;3.2021656
2013-05-15;692788.25;36.4;-0.14;3.52;1.09;5.17;46.05;0.0;Miércoles;103.68;102.7;103.82;101.2;16.996315;9.239842;13.162546;22.335299;6.8111567
2013-05-16;690805.94;39.9;-0.05;3.71;1.73;5.27;50.56;0.0;Jueves;103.8;103.74;104.4;102.95;16.01224;7.0247545;11.683795;23.778557;1.7765545
2013-05-17;670740.6;41.7;0.04;2.79;1.96;5.33;51.82;0.0;Viernes;104.64;103.87;104.87;103.35;15.261336;7.154713;11.267049;23.75977;5.7315702
2013-05-18;649201.06;28.4;-0.16;4.75;1.83;3.97;38.79;0.0;Sábado;104.64;103.87;104.87;103.35;15.690298;7.081107;11.432614;25.835459;4.3958583
2013-05-19;596988.44;40.13;-0.22;3.79;2.07;4.19;49.96;0.0;Domingo;104.64;103.87;104.87;103.35;16.787966;7.2771635;12.1413;20.3651;2.1744227
2013-05-20;662189.7;50.02;-0.15;4.01;1.22;5.46;60.56;0.0;Lunes;104.8;104.75;105.31;103.83;16.41491;6.7735023;11.649119;16.431295;0.8191963
2013-05-21;695053.1;50.91;0.03;2.7;1.37;5.29;60.29;0.0;Martes;103.91;104.78;105.15;103.51;17.185474;6.8880234;12.117709;17.514816;0.42820066
2013-05-22;725968.9;41.94;-0.05;3.39;0.91;5.09;51.28;0.0;Miércoles;102.6;103.52;103.79;102.22;21.950083;8.8744335;15.313852;20.863325;0.22915182
2013-05-23;732272.06;41.97;-0.19;3.36;0.74;5.03;50.91;0.0;Jueves;102.44;102.25;102.68;100.64;21.958055;9.525643;15.829259;21.08164;0.09548895
2013-05-24;711949.1;42.08;-0.25;5.01;1.48;5.06;53.38;0.0;Viernes;102.64;102.55;102.79;101.65;20.56076;8.758719;14.864083;20.73499;0.08978095
2013-05-25;643888.3;40.35;-0.38;4.79;0.92;3.98;49.65;0.0;Sábado;102.64;102.55;102.79;101.65;21.264841;8.478411;14.968709;19.41639;0.13187082
2013-05-26;591562.75;41.06;-0.29;5.41;0.81;4.16;51.15;0.0;Domingo;102.64;102.55;102.79;101.65;20.934448;8.698861;14.944528;19.585445;0.33951473
2013-05-27;672740.5;48.09;0.04;4.38;1.28;5.45;59.24;0.0;Lunes;102.62;102.52;102.65;102.1;19.615982;10.014369;14.987056;19.998346;1.147552
2013-05-28;703632.1;43.11;-0.27;3.6;0.91;5.17;52.52;0.0;Martes;104.23;102.51;104.69;102.48;19.0199;9.217061;14.207019;24.080442;1.2095956
2013-05-29;708537.44;38.41;0.0;4.18;0.92;5.17;48.69;0.0;Miércoles;102.43;104.32;104.37;102.17;18.608847;8.1948805;13.457724;26.010914;2.5066748
2013-05-30;680266.25;43.85;0.0;3.94;1.07;5.22;54.07;0.0;Jueves;102.19;102.4;102.85;101.08;19.469254;7.9610724;13.954261;21.405897;1.0253099
2013-05-31;694708.9;41.27;-0.26;3.83;0.97;5.12;50.93;0.0;Viernes;100.39;102.12;102.38;100.03;20.769018;9.530407;15.363754;23.352724;0.2598326
2013-06-01;656315.6;33.02;-0.44;4.81;1.49;3.9;42.78;0.0;Sábado;100.39;102.12;102.38;100.03;23.125927;9.753814;16.492481;21.03962;0.03081168
2013-06-02;649328.8;19.09;-0.39;6.53;2.35;3.74;31.32;0.0;Domingo;100.39;102.12;102.38;100.03;23.517164;10.125063;16.866482;18.719437;0.06255366
2013-06-03;700500.8;38.51;-0.16;5.44;1.94;5.45;51.18;0.0;Lunes;102.06;100.15;102.48;99.66;24.673298;9.800121;17.411293;17.170864;0.0
2013-06-04;702582.44;47.12;0.01;3.16;1.25;5.42;56.96;0.0;Martes;103.24;102.02;103.58;101.47;25.97987;10.501701;18.384163;17.23472;0.007118161
2013-06-05;701818.75;51.48;-0.16;2.6;0.97;5.45;60.35;0.0;Miércoles;103.04;103.48;104.07;102.85;25.768139;12.123443;19.021616;19.147642;0.053441424
2013-06-06;700746.5;49.47;-0.32;2.35;0.67;5.44;57.6;0.0;Jueves;103.61;102.94;103.95;102.81;23.76083;12.517649;18.125957;20.303318;0.7450702
